frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
SITE,1,-1,-1,0.000,0.000,0.000,1093296.385,4354495.494,18.444571297,18.346169209,77.450910771,-2569.721,5414.46,13661.98,1353.62,3415.49,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.089,3391937.367,0,-1
SITE,2,-1,-1,3.310,-1.408,0.189,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.076,3391937.166,667751496,9
SITE,3,-1,-1,3.310,-1.408,0.189,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.076,3391937.166,667754529,9
ROVER,3,28,-1,3.310,-1.408,0.189,1093299.695,4354494.086,18.444627146,18.346169209,77.450885729,-2569.910,5401.22,13656.34,1350.30,3414.09,-1.183,-0.034,132.832,0.400073380,-0.003856616,-0.009576106,0.916425000,3394507.076,3391937.166,668099638,13
ROVER,3,110,-1,-1.655,2.023,0.140,1093294.730,4354497.517,18.444543383,18.346169209,77.450946754,-2569.862,5421.08,13670.07,1355.27,3417.52,0.865,-0.394,-15.111,0.991286800,0.007032753,-0.004397844,-0.131459680,3394507.093,3391937.232,668187928,14
ROVER,3,190,-1,13.306,62.322,-0.741,1093309.691,4354557.816,18.444795784,18.346169209,77.452019258,-2568.980,5361.24,13911.26,1340.31,3477.82,-9999.000,-9999.000,-9999.000,-9999.000000000,-9999.000000000,-9999.000000000,-9999.000000000,3394506.921,3391937.941,0,-1
ROVER,3,386,-1,33.416,6.930,0.214,1093329.801,4354502.424,18.445135052,18.346169209,77.451034032,-2569.935,5280.80,13689.70,1320.20,3422.42,1.538,-1.797,88.389,0.716676500,0.020550711,-0.001887023,0.697100400,3394506.932,3391936.997,668279724,15
ROVER,3,578,-1,42.002,32.974,-0.434,1093338.387,4354528.468,18.445279903,18.346169209,77.451497262,-2569.287,5246.45,13793.87,1311.61,3448.47,-0.350,1.957,71.428,0.811787800,-0.012444174,0.012082794,0.583694930,3394506.865,3391937.578,668366947,16
ROVER,3,770,-1,34.205,53.146,-0.791,1093330.590,4354548.640,18.445148363,18.346169209,77.451856050,-2568.930,5277.64,13874.56,1319.41,3468.64,-9999.000,-9999.000,-9999.000,-9999.000000000,-9999.000000000,-9999.000000000,-9999.000000000,3394506.861,3391937.931,668726088,20
ROVER,3,792,-1,37.402,48.708,-0.752,1093333.786,4354544.202,18.445202287,18.346169209,77.451777107,-2568.969,5264.85,13856.81,1316.21,3464.20,0.621,-1.426,-51.918,0.899054600,-0.000579443,-0.013561883,-0.437626120,3394506.856,3391937.887,668987389,23
ROVER,3,828,-1,35.154,51.215,-0.796,1093331.539,4354546.709,18.445164373,18.346169209,77.451821704,-2568.926,5273.84,13866.84,1318.46,3466.71,1.243,-0.336,116.838,0.523640600,0.008182122,0.007703800,0.851865200,3394506.857,3391937.931,669525719,29
ROVER,3,1044,-1,36.080,23.672,-0.120,1093332.465,4354519.166,18.445179996,18.346169209,77.451331813,-2569.602,5270.14,13756.66,1317.53,3439.17,0.880,-1.428,-134.723,0.384960060,-0.008546035,-0.011883701,-0.922817200,3394506.900,3391937.298,669698335,31
ROVER,3,1266,-1,7.629,16.073,0.087,1093304.014,4354511.566,18.444700006,18.346169209,77.451196645,-2569.808,5383.94,13726.27,1345.99,3431.57,0.230,-0.844,-132.405,0.403509000,-0.005931981,-0.004805345,-0.914943800,3394507.032,3391937.224,669787029,32
ROVER,3,1374,-1,10.722,6.392,0.271,1093307.106,4354501.886,18.444752179,18.346169209,77.451024464,-2569.992,5371.57,13687.54,1342.89,3421.89,-0.802,-1.582,-0.564,0.999867600,-0.007064903,-0.013770541,-0.005015283,3394507.031,3391937.039,669870396,33
ROVER,3,1392,-1,17.274,6.228,0.273,1093313.659,4354501.722,18.444862727,18.346169209,77.451021544,-2569.994,5345.36,13686.89,1336.34,3421.72,0.626,-0.550,-0.433,0.999966500,0.005447354,-0.004821664,-0.003750209,3394507.001,3391937.007,669961048,34
ROVER,3,1398,-1,21.874,6.400,0.299,1093318.259,4354501.894,18.444940332,18.346169209,77.451024606,-2570.020,5326.96,13687.58,1331.74,3421.89,-1.109,-0.138,-0.161,0.999951500,-0.009675209,-0.001191633,-0.001418274,3394506.986,3391936.966,670763984,43
ROVER,3,1416,-1,22.031,6.168,0.303,1093318.415,4354501.662,18.444942967,18.346169209,77.451020473,-2570.025,5326.34,13686.65,1331.58,3421.66,-0.160,-0.139,136.913,0.367204550,0.000617906,-0.001742305,0.930138350,3394506.986,3391936.961,670850180,44
ROVER,3,1708,-1,12.312,34.789,-0.183,1093308.697,4354530.283,18.444779013,18.346169209,77.451529539,-2569.539,5365.21,13801.13,1341.30,3450.28,2.453,-0.456,179.869,0.001057103,0.003999939,0.021395976,0.999762540,3394506.977,3391937.438,671117968,47
ROVER,3,1850,-1,17.779,51.059,-0.681,1093314.164,4354546.553,18.444871247,18.346169209,77.451818930,-2569.040,5343.34,13866.21,1335.84,3466.55,1.227,0.328,-178.742,0.010947535,0.002978986,-0.010672102,-0.999878700,3394506.926,3391937.886,671207098,48
ROVER,3,1950,-1,13.306,62.322,-0.741,1093309.691,4354557.816,18.444795784,18.346169209,77.452019258,-2568.980,5361.24,13911.26,1340.31,3477.82,-0.096,-0.093,179.849,0.001316489,0.000813268,-0.000838001,0.999998450,3394506.921,3391937.941,671300257,49
ROVER,3,2046,-1,10.735,69.100,-0.671,1093307.120,4354564.594,18.444752410,18.346169209,77.452139814,-2569.050,5371.52,13938.38,1342.88,3484.59,0.165,0.263,175.227,0.041646212,-0.002231458,0.001534633,0.999128760,3394506.922,3391937.872,671562055,52
ROVER,3,2150,-1,5.626,73.921,-0.720,1093302.011,4354569.415,18.444666218,18.346169209,77.452225563,-2569.001,5391.96,13957.66,1347.99,3489.42,0.486,-1.541,172.923,0.061652582,0.013678816,0.003399063,0.997998100,3394506.931,3391937.930,672719649,65
ROVER,3,2208,-1,-2.530,77.972,-0.406,1093293.855,4354573.466,18.444528622,18.346169209,77.452297616,-2569.315,5424.58,13973.86,1356.15,3493.47,-0.446,-0.928,162.259,0.154229490,0.007404435,-0.005096507,0.987994130,3394506.950,3391937.635,672795748,66
ROVER,3,2346,-1,-17.386,90.332,-0.581,1093278.999,4354585.826,18.444277992,18.346169209,77.452517456,-2569.140,5484.00,14023.30,1371.00,3505.83,1.474,0.653,-170.744,0.080609290,0.006717303,-0.012358054,-0.996646500,3394506.972,3391937.832,673342968,72
ROVER,3,2430,-1,-26.396,94.262,-0.907,1093269.989,4354589.755,18.444125980,18.346169209,77.452587346,-2568.814,5520.05,14039.02,1380.01,3509.76,1.752,1.900,156.184,0.206537740,-0.013065716,0.018374264,0.978178860,3394506.995,3391938.181,673426863,73
SITE,4,-1,-1,-20.866,76.786,-0.421,1093275.519,4354572.280,18.444219282,18.346169209,77.452276521,-2569.300,5497.92,13969.12,1374.48,3492.28,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394507.014,3391937.714,674404351,84
ROVER,4,6,-1,-20.867,76.786,-0.421,1093275.518,4354572.280,18.444219265,18.346169209,77.452276521,-2569.300,5497.93,13969.12,1374.48,3492.28,0.952,-0.167,-137.226,0.364665700,0.001672446,-0.008266929,-0.931100300,3394507.014,3391937.714,674582875,86
ROVER,4,48,-1,-24.368,73.551,-0.521,1093272.017,4354569.045,18.444160201,18.346169209,77.452218982,-2569.200,5511.93,13956.18,1377.98,3489.04,-0.582,-0.532,-141.045,0.333409900,-0.006069357,0.003239077,-0.942756830,3394507.035,3391937.835,674583376,86
